Id,Median household income in the past 12 months (in 2017 Inflation-adjusted dollars),Median contract rent 2017
1500000US220710001001,72708,945
1500000US220710001002,57396,769
1500000US220710001003,74500,684
1500000US220710002001,26161,621
1500000US220710002002,0,724
1500000US220710003001,22262,652
1500000US220710003002,30430,764
1500000US220710004001,39773,835
1500000US220710004002,17703,596
1500000US220710006011,9970,0
1500000US220710006012,16875,484
1500000US220710006021,30532,641
1500000US220710006022,35469,513
1500000US220710006023,31134,825
1500000US220710006031,17083,636
1500000US220710006032,12280,748
1500000US220710006041,22756,0
1500000US220710006042,22396,802
1500000US220710006043,23355,866
1500000US220710006051,36719,628
1500000US220710006052,0,1040
1500000US220710006053,47768,1600
1500000US220710006061,72500,1079
1500000US220710006062,57614,0
1500000US220710006063,79231,0
1500000US220710006071,72000,0
1500000US220710006072,90639,0
1500000US220710006073,68125,863
1500000US220710006111,28208,636
1500000US220710006112,36848,637
1500000US220710006121,175000,"3,500"
1500000US220710006131,65082,1311
1500000US220710006132,27574,654
1500000US220710006133,12227,605
1500000US220710006151,49107,743
1500000US220710006152,29616,703
1500000US220710006161,48138,1109
1500000US220710006162,42019,678
1500000US220710006163,61741,0
1500000US220710006171,33125,690
1500000US220710006172,32410,881
1500000US220710006181,139653,0
1500000US220710006182,59830,824
1500000US220710007011,50250,0
1500000US220710007012,0,0
1500000US220710007013,26583,695
1500000US220710007014,22857,719
1500000US220710007021,15682,655
1500000US220710007022,22209,550
1500000US220710007023,0,100
1500000US220710007024,50156,768
1500000US220710008001,47188,771
1500000US220710008002,25781,703
1500000US220710008003,28092,759
1500000US220710009011,0,0
1500000US220710009012,25066,967
1500000US220710009013,31429,0
1500000US220710009014,16823,524
1500000US220710009021,41000,0
1500000US220710009022,0,0
1500000US220710009023,0,0
1500000US220710009024,0,0
1500000US220710009031,26771,563
1500000US220710009032,53438,0
1500000US220710009033,0,0
1500000US220710009034,15078,711
1500000US220710009041,20323,388
1500000US220710009042,15500,625
1500000US220710011001,29500,703
1500000US220710011002,41500,859
1500000US220710011003,0,0
1500000US220710012001,46420,1030
1500000US220710012002,43155,912
1500000US220710012003,57500,1026
1500000US220710013011,0,0
1500000US220710013012,45781,881
1500000US220710013013,28482,531
1500000US220710013014,23625,622
