Id,Year,Total,White,Black or African American,Hispanic,Asian
1500000US220710001001,2000,873,572,264,27,9
1500000US220710001002,2000,878,578,276,46,6
1500000US220710001003,2000,630,532,61,38,6
1500000US220710002001,2000,734,103,599,22,10
1500000US220710002002,2000,613,96,507,2,4
1500000US220710003001,2000,830,20,802,3,2
1500000US220710003002,2000,638,64,567,9,0
1500000US220710004001,2000,1305,260,1001,24,14
1500000US220710004002,2000,1259,39,1192,35,0
1500000US220710006011,2000,1022,4,1018,2,0
1500000US220710006012,2000,1012,6,1000,0,0
1500000US220710006021,2000,910,222,655,47,1
1500000US220710006022,2000,983,95,867,10,6
1500000US220710006023,2000,1064,130,922,28,1
1500000US220710006031,2000,1325,60,1182,93,12
1500000US220710006032,2000,1017,43,791,119,94
1500000US220710006041,2000,1554,278,1212,100,8
1500000US220710006042,2000,2323,672,1382,261,29
1500000US220710006043,2000,1254,68,1131,32,17
1500000US220710006051,2000,1025,228,781,26,0
1500000US220710006052,2000,629,186,427,34,1
1500000US220710006053,2000,1248,522,648,63,22
1500000US220710006061,2000,1422,1060,292,87,18
1500000US220710006062,2000,1570,983,486,93,30
1500000US220710006063,2000,1408,755,598,51,34
1500000US220710006071,2000,767,404,341,14,8
1500000US220710006072,2000,1210,1073,83,46,37
1500000US220710006073,2000,1769,1482,200,80,29
1500000US220710006081,2000,1205,524,593,70,54
1500000US220710006082,2000,3495,2020,1278,110,106
1500000US220710006083,2000,2961,1605,1056,214,116
1500000US220710006111,2000,1916,27,1862,14,12
1500000US220710006112,2000,2609,56,1897,31,637
1500000US220710006121,2000,1147,896,129,30,87
1500000US220710006131,2000,591,234,325,30,21
1500000US220710006132,2000,1923,210,1611,67,47
1500000US220710006133,2000,2116,614,1432,65,8
1500000US220710006141,2000,1513,1140,208,83,120
1500000US220710006142,2000,2151,1365,672,70,79
1500000US220710006143,2000,3883,1095,2429,203,180
1500000US220710007011,2000,725,1,719,1,0
1500000US220710007012,2000,934,5,907,9,0
1500000US220710007013,2000,1058,8,1046,3,2
1500000US220710007014,2000,561,9,549,7,1
1500000US220710007021,2000,658,26,621,3,0
1500000US220710007022,2000,863,69,767,31,1
1500000US220710007023,2000,817,281,508,18,10
1500000US220710007024,2000,638,73,537,10,1
1500000US220710008001,2000,705,38,659,2,1
1500000US220710008002,2000,964,38,916,10,0
1500000US220710008003,2000,862,18,836,5,0
1500000US220710009011,2000,576,1,569,5,0
1500000US220710009012,2000,780,2,771,5,0
1500000US220710009013,2000,600,5,586,6,0
1500000US220710009014,2000,781,7,765,4,0
1500000US220710009021,2000,713,1,706,3,1
1500000US220710009022,2000,840,5,833,4,0
1500000US220710009023,2000,873,0,863,1,0
1500000US220710009024,2000,517,2,512,0,0
1500000US220710009031,2000,910,2,904,1,0
1500000US220710009032,2000,521,0,518,1,0
1500000US220710009033,2000,495,0,495,0,0
1500000US220710009034,2000,714,1,706,3,0
1500000US220710009041,2000,1112,10,1091,14,1
1500000US220710009042,2000,1298,14,1273,3,0
1500000US220710011001,2000,1266,118,1126,21,6
1500000US220710011002,2000,1626,527,1040,102,18
1500000US220710011003,2000,0,0,0,0,0
1500000US220710012001,2000,698,416,265,46,1
1500000US220710012002,2000,776,349,398,32,3
1500000US220710012003,2000,730,363,340,42,2
1500000US220710013011,2000,1005,53,947,13,0
1500000US220710013012,2000,601,228,355,17,2
1500000US220710013013,2000,728,75,643,8,4
1500000US220710013014,2000,688,14,663,11,0
1500000US220710013021,2000,904,20,869,6,0
1500000US220710013022,2000,1065,39,1016,12,0
1500000US220710013033,2000,781,48,724,16,0
1500000US220710013044,2000,721,218,490,12,1
1500000US220710014011,2000,513,3,505,5,0
1500000US220710014012,2000,520,3,513,6,0
1500000US220710014013,2000,520,3,514,2,0
1500000US220710014014,2000,704,1,699,9,1
1500000US220710014015,2000,420,0,420,0,0
1500000US220710014016,2000,494,3,489,4,0
1500000US220710014021,2000,615,9,602,9,0
1500000US220710014022,2000,577,5,566,7,0
1500000US220710014023,2000,642,3,627,5,0
1500000US220710014024,2000,1368,20,1339,13,1
1500000US220710015001,2000,1131,49,1059,38,2
1500000US220710015002,2000,895,70,794,30,8
1500000US220710016002,2000,1604,4,1586,14,0
1500000US220710017011,2000,1071,11,1027,14,2
1500000US220710017012,2000,606,3,594,3,0
1500000US220710017013,2000,953,10,931,5,1
1500000US220710017021,2000,1237,104,1090,12,17
1500000US220710017022,2000,1252,179,1030,51,5
1500000US220710017023,2000,814,179,617,9,1
1500000US220710017024,2000,1084,669,296,33,96
1500000US220710017031,2000,2623,141,2435,37,8
1500000US220710017032,2000,1116,3,1101,16,0
1500000US220710017061,2000,52,0,52,0,0
1500000US220710017141,2000,592,0,585,1,1
1500000US220710017142,2000,68,0,64,0,4
1500000US220710017201,2000,993,206,766,14,4
1500000US220710017202,2000,632,92,530,5,1
1500000US220710017203,2000,1897,85,1788,11,1
1500000US220710017204,2000,1570,127,1385,23,7
1500000US220710017221,2000,727,59,653,5,0
1500000US220710017222,2000,812,138,652,16,3
1500000US220710017223,2000,1796,93,1665,50,1
1500000US220710017224,2000,548,3,539,4,0
1500000US220710017225,2000,1677,29,1626,14,1
1500000US220710017226,2000,950,1,933,2,0
1500000US220710017227,2000,495,2,493,1,0
1500000US220710017231,2000,1151,200,929,30,16
1500000US220710017232,2000,2002,314,1634,41,17
1500000US220710017233,2000,1222,233,961,25,11
1500000US220710017234,2000,1189,204,966,36,1
1500000US220710017241,2000,975,223,728,10,3
1500000US220710017242,2000,1354,532,785,29,6
1500000US220710017243,2000,3313,488,2757,55,16
1500000US220710017251,2000,2075,470,1518,58,14
1500000US220710017252,2000,1744,277,1449,30,0
1500000US220710017253,2000,1978,175,1718,14,4
1500000US220710017254,2000,1976,290,1620,33,26
1500000US220710017261,2000,74,29,44,0,0
1500000US220710017281,2000,681,66,553,10,44
1500000US220710017282,2000,4501,167,4231,49,17
